SUID,AverageShortestPathLength,Betweenness,BetweennessCentrality,Closeness,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Eigenvector,Information,IsSingleNode,LAC,name,NeighborhoodConnectivity,Network,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,Subgragh,TopologicalCoefficient
943,2.77911647,308.9770976,0.00500352,0.085345683,0.35982659,0.3956044,14,6,0.028085001,3.869497538,FALSE,5.142857143,RXRB,16.28571429,7.980810856,14,0,0,0.80232039,FALSE,0,RXRB,2686,3.16E+07,0.16618076
83,3.00803213,433.4570858,0.00701932,0.083766234,0.33244326,0.37179487,13,6,0.020778464,3.80001545,FALSE,4.461538462,CCNA2,13.30769231,6.869047619,13,0,0,0.77688532,FALSE,0,CCNA2,4676,1.73E+07,0.18482906
435,2.77108434,59.58785637,9.65E-04,0.085402185,0.36086957,0.53846154,13,6,0.072165705,3.80001545,FALSE,6.461538462,PRKCQ,28.69230769,7.352380952,13,0,0,0.80321285,FALSE,0,PRKCQ,890,2.09E+08,0.28408225
116,2.64658635,1609.750213,0.02606799,0.086287625,0.37784522,0.1969697,12,5,0.029959174,3.722888708,FALSE,2.166666667,PPARA,18.16666667,3.5,12,0,0,0.81704596,FALSE,0,PPARA,9646,3.60E+07,0.16145833
289,2.70682731,76.86907836,0.0012448,0.085856905,0.3694362,0.42424242,12,6,0.052639998,3.722888708,FALSE,4.666666667,GSK3B,25.25,5.558441558,12,0,0,0.81035252,FALSE,0,GSK3B,988,1.11E+08,0.22747748
412,2.92369478,69.34473801,0.00112296,0.084341288,0.34203297,0.66666667,12,6,0.063424118,3.722888708,FALSE,7.333333333,ITK,26.58333333,8.357142857,12,0,0,0.78625614,FALSE,0,ITK,536,1.61E+08,0.32317073
492,2.78714859,25.53369977,4.13E-04,0.085289256,0.35878963,0.5,12,6,0.06382148,3.722888708,FALSE,5.5,MAPK12,27.08333333,6.727272727,12,0,0,0.80142793,FALSE,0,MAPK12,362,1.63E+08,0.27636054
660,2.67068273,841.5528451,0.01362794,0.08611482,0.37443609,0.39393939,12,6,0.052112576,3.722888708,FALSE,4.333333333,MMP2,26.41666667,5.418181818,12,0,0,0.81436859,FALSE,0,MMP2,5974,1.09E+08,0.22435897
784,2.7751004,59.67554348,9.66E-04,0.085373925,0.36034732,0.60606061,12,6,0.032512352,3.722888708,FALSE,6.666666667,RARB,20.91666667,7.650974026,12,0,0,0.80276662,FALSE,0,RARB,1020,4.24E+07,0.20916667
828,2.7188755,12.06309265,1.95E-04,0.085771277,0.36779911,0.72727273,12,6,0.085160501,3.722888708,FALSE,8,FGFR2,37.41666667,8.868686869,12,0,0,0.80901383,FALSE,0,FGFR2,224,2.91E+08,0.34015152
941,2.7751004,98.91271698,0.00160177,0.085373925,0.36034732,0.59090909,12,6,0.033872236,3.722888708,FALSE,6.5,RARG,21.5,7.469155844,12,0,0,0.80276662,FALSE,0,RARG,1214,4.60E+07,0.2047619
965,2.78313253,249.0505245,0.00403308,0.08531746,0.35930736,0.45454545,12,6,0.035888128,3.722888708,FALSE,5,THRB,21.41666667,5.727272727,12,0,0,0.80187416,FALSE,0,THRB,2020,5.16E+07,0.20512821
278,2.81124498,410.0235885,0.00663984,0.085120422,0.35571429,0.27272727,11,6,0.033793699,3.636770487,FALSE,2.727272727,HDAC4,19.81818182,3.65,11,0,0,0.79875056,FALSE,0,HDAC4,4926,4.58E+07,0.20889749
309,2.93574297,598.6621991,0.00969462,0.084258654,0.34062927,0.38181818,11,6,0.024029026,3.636770487,FALSE,3.818181818,KDM1A,16,7.6,11,0,0,0.78491745,FALSE,0,KDM1A,5910,2.32E+07,0.21917808
339,2.91566265,521.2818712,0.00844154,0.084396467,0.34297521,0.38181818,11,6,0.022270659,3.636770487,FALSE,3.818181818,CHEK1,16.09090909,5.521428571,11,0,0,0.78714859,FALSE,0,CHEK1,4926,1.99E+07,0.1986532
352,2.99598394,209.461211,0.00339197,0.083847904,0.33378016,0.30909091,11,7,0.018188585,3.636770487,FALSE,3.090909091,XIAP,11.81818182,4.45952381,11,0,0,0.77822401,FALSE,0,XIAP,1708,1.33E+07,0.17639077
430,2.75903614,1636.034223,0.02649362,0.085487078,0.36244541,0.25454545,11,6,0.028459834,3.636770487,FALSE,2.545454545,HMOX1,17.27272727,3.9,11,0,0,0.80455154,FALSE,0,HMOX1,9080,3.25E+07,0.17181818
1048,2.84337349,338.7664653,0.00548592,0.084896347,0.35169492,0.61818182,11,5,0.061868202,3.636770487,FALSE,6.181818182,PIK3CG,28.09090909,6.8,11,0,0,0.79518072,FALSE,0,PIK3CG,3096,1.53E+08,0.31818182
693,2.88353414,8.995305246,1.46E-04,0.084617908,0.34679666,0.75555556,10,6,0.067960858,3.539989233,FALSE,6.8,PTPN2,34,7.555555556,10,0,0,0.79071843,FALSE,0,PTPN2,190,1.85E+08,0.38202247
820,2.77108434,5.623383544,9.11E-05,0.085402185,0.36086957,0.77777778,10,6,0.06785398,3.539989233,FALSE,7,FGFR1,35.1,7.777777778,10,0,0,0.80321285,FALSE,0,FGFR1,130,1.85E+08,0.35454545
877,2.91164659,21.31226341,3.45E-04,0.084424084,0.34344828,0.62222222,10,6,0.057579685,3.539989233,FALSE,5.6,INSR,28.3,6.222222222,10,0,0,0.78759482,FALSE,0,INSR,340,1.33E+08,0.34938272
105,2.84738956,58.24892171,9.43E-04,0.084868421,0.35119887,0.41666667,9,6,0.03144804,3.430444241,FALSE,3.333333333,CDK5,21.33333333,3.821428571,9,0,0,0.79473449,FALSE,0,CDK5,724,3.97E+07,0.24242424
