SUID,AverageShortestPathLength,Betweenness,BetweennessCentrality,Closeness,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Eigenvector,Information,IsSingleNode,LAC,name,NeighborhoodConnectivity,Network,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,Subgragh,TopologicalCoefficient
174,2.57028112,14.11867192,0.02787417,0.534351145,0.3890625,0.30769231,14,6,0.061204422,6.569584846,FALSE,4.6,NOS2,26.5,5.222222222,14,0,0,0.82552432,FALSE,0,NOS2,10746,4.79E+07,0.19924812
943,2.77911647,6.642726088,0.00500352,0.48951049,0.35982659,0.3956044,14,6,0.027184241,6.20919323,FALSE,5.333333333,RXRB,16.28571429,6.083333333,14,0,0,0.80232039,FALSE,0,RXRB,2686,9456511,0.16618076
435,2.77108434,4.259935681,9.65E-04,0.53030303,0.36086957,0.53846154,13,6,0.075601727,6.90348959,FALSE,6.909090909,PRKCQ,28.69230769,7.6,13,0,0,0.80321285,FALSE,0,PRKCQ,890,7.31E+07,0.28408225
83,3.00803213,0.4,0.00701932,0.426829268,0.33244326,0.37179487,13,6,0.016599949,4.427909374,FALSE,3.6,CCNA2,13.30769231,4.5,13,0,0,0.77688532,FALSE,0,CCNA2,4676,3526162.5,0.18482906
116,2.64658635,8.727298668,0.02606799,0.496453901,0.37784522,0.1969697,12,5,0.030315951,5.395279408,FALSE,2.571428571,PPARA,18.16666667,3,12,0,0,0.81704596,FALSE,0,PPARA,9646,1.18E+07,0.16145833
784,2.7751004,5.917528548,9.66E-04,0.503597122,0.36034732,0.60606061,12,6,0.032772433,6.569584846,FALSE,6.2,RARB,20.91666667,6.972222222,12,0,0,0.80276662,FALSE,0,RARB,1020,1.37E+07,0.20916667
660,2.67068273,0.84732665,0.01362794,0.5,0.37443609,0.39393939,12,6,0.052144445,5.395279408,FALSE,4.857142857,MMP2,26.41666667,5.666666667,12,0,0,0.81436859,FALSE,0,MMP2,5974,3.48E+07,0.22435897
412,2.92369478,0.43956044,0.00112296,0.482758621,0.34203297,0.66666667,12,6,0.062326472,6.20919323,FALSE,7.333333333,ITK,26.58333333,8.25,12,0,0,0.78625614,FALSE,0,ITK,536,4.97E+07,0.32317073
289,2.70682731,4.159701493,0.0012448,0.507246377,0.3694362,0.42424242,12,6,0.051789194,6.20919323,FALSE,4.444444444,GSK3B,25.25,5,12,0,0,0.81035252,FALSE,0,GSK3B,988,3.43E+07,0.22747748
941,2.7751004,6.97157643,0.00160177,0.507246377,0.36034732,0.59090909,12,6,0.034336772,6.569584846,FALSE,6,RARG,21.5,6.75,12,0,0,0.80276662,FALSE,0,RARG,1214,1.51E+07,0.2047619
828,2.7188755,2.618687058,1.95E-04,0.542635659,0.36779911,0.72727273,12,6,0.087734602,6.90348959,FALSE,7.454545455,FGFR2,37.41666667,8.2,12,0,0,0.80901383,FALSE,0,FGFR2,224,9.85E+07,0.34015152
